stock_date,stock_close,vix,vix_date,cpi,cpi_date,unemployment_rate,unemployment_date,analyst_quarter,buy_ratings,hold_ratings,sell_ratings,avg_price_target,num_analysts
2023-01-26,339.54,20.1,2023-01-26,296.8,2023-01-26,3.4,2023-01-26,2022Q4,26,3,1,394.3,30
2023-04-27,379.48,15.7,2023-04-27,301.8,2023-04-27,3.4,2023-04-27,2023Q1,19,4,1,440.4,24
2023-07-27,377.08,13.8,2023-07-27,304.7,2023-07-27,3.6,2023-07-27,2023Q2,26,7,1,429.3,34
2023-10-26,412.3,19.4,2023-10-26,307.7,2023-10-26,3.8,2023-10-26,2023Q3,16,3,1,446.4,20
2024-01-25,445.6,12.5,2024-01-25,308.4,2024-01-25,3.7,2024-01-25,2023Q4,24,7,1,505.4,32
2024-04-25,460.2,15.2,2024-04-25,312.2,2024-04-25,3.9,2024-04-25,2024Q1,26,7,2,498.4,35
2024-07-25,478.9,12.1,2024-07-25,314.5,2024-07-25,4.1,2024-07-25,2024Q2,25,5,1,557.4,31
2024-10-24,493.1,17.8,2024-10-24,315.3,2024-10-24,4.2,2024-10-24,2024Q3,18,6,2,538.3,26
2025-01-23,510.45,14.6,2025-01-23,317.1,2025-01-23,4.1,2025-01-23,2024Q4,19,5,1,543.1,25
2025-04-24,528.7,21.3,2025-04-24,319.9,2025-04-24,4.3,2025-04-24,2025Q1,17,5,2,603.0,24
