quarter_day,feature,shap_value,updated_at
2022Q4_day1,analyst bearish ratio,-0.478328298,2026-04-30 38:31:0
2022Q4_day1,analyst coverage,-0.179812507,2026-04-30 38:31:0
2022Q4_day1,analyst rating momentum,0.00157311,2026-04-30 38:31:0
2022Q4_day1,analyst positive momentum,0.014094178,2026-04-30 38:31:0
2022Q4_day1,analyst price target upside,0.059986906,2026-04-30 38:31:0
2022Q4_day1,reaction days,0.274569986,2026-04-30 38:31:0
2022Q4_day1,cortex sentiment,-1.140572258,2026-04-30 38:31:0
2022Q4_day1,earnings surprise pct,0.714572309,2026-04-30 38:31:0
2022Q4_day1,actual eps,0.872177379,2026-04-30 38:31:0
2022Q4_day1,operating margin,0.15433165,2026-04-30 38:31:0
2022Q4_day1,guidance surprise pct,1.226968927,2026-04-30 38:31:0
2022Q4_day1,guidance eps,0.125214745,2026-04-30 38:31:0
2022Q4_day1,china rev yoy,-0.460234251,2026-04-30 38:31:0
2022Q4_day1,revenue qoq,0.383303047,2026-04-30 38:31:0
2022Q4_day1,beta sp500,0.099694204,2026-04-30 38:31:0
2022Q4_day1,beta sp500 it,-0.224545961,2026-04-30 38:31:0
2022Q4_day1,beta nasdaq,0.465345593,2026-04-30 38:31:0
2022Q4_day1,cadence return 30d,0.03470239,2026-04-30 38:31:0
2022Q4_day1,siemens return 30d,0.353789155,2026-04-30 38:31:0
2022Q4_day1,vix,-0.366240759,2026-04-30 38:31:0
2022Q4_day1,vix change 30d,0.630373962,2026-04-30 38:31:0
2022Q4_day1,high volatility,0.477670421,2026-04-30 38:31:0
2022Q4_day1,cpi,-0.074689245,2026-04-30 38:31:0
2022Q4_day1,unemployment rate,0.291471285,2026-04-30 38:31:0
2022Q4_day1,analyst sentiment score,-0.11277443,2026-04-30 38:31:0
2022Q4_day1,analyst consensus strength,0.410589467,2026-04-30 38:31:0
2022Q4_day1,analyst bullish ratio,-0.289477038,2026-04-30 38:31:0
2022Q4_day2,analyst bearish ratio,0.205815438,2026-04-30 38:31:0
2022Q4_day2,analyst coverage,0.317527346,2026-04-30 38:31:0
2022Q4_day2,analyst rating momentum,-0.527621846,2026-04-30 38:31:0
2022Q4_day2,analyst positive momentum,-0.354977554,2026-04-30 38:31:0
2022Q4_day2,analyst price target upside,-0.257846436,2026-04-30 38:31:0
2022Q4_day2,reaction days,0.096118633,2026-04-30 38:31:0
2022Q4_day2,cortex sentiment,-0.069474647,2026-04-30 38:31:0
2022Q4_day2,earnings surprise pct,1.701414231,2026-04-30 38:31:0
2022Q4_day2,actual eps,0.844456868,2026-04-30 38:31:0
2022Q4_day2,operating margin,0.488584664,2026-04-30 38:31:0
2022Q4_day2,guidance surprise pct,-0.028060875,2026-04-30 38:31:0
2022Q4_day2,guidance eps,-0.222029464,2026-04-30 38:31:0
2022Q4_day2,china rev yoy,-0.01666431,2026-04-30 38:31:0
2022Q4_day2,revenue qoq,0.115219635,2026-04-30 38:31:0
2022Q4_day2,beta sp500,-0.009808424,2026-04-30 38:31:0
2022Q4_day2,beta sp500 it,-0.62023263,2026-04-30 38:31:0
2022Q4_day2,beta nasdaq,-0.026736012,2026-04-30 38:31:0
2022Q4_day2,cadence return 30d,-0.39134085,2026-04-30 38:31:0
2022Q4_day2,siemens return 30d,0.200901765,2026-04-30 38:31:0
2022Q4_day2,vix,-0.216700877,2026-04-30 38:31:0
2022Q4_day2,vix change 30d,-0.869939893,2026-04-30 38:31:0
2022Q4_day2,high volatility,-0.656933459,2026-04-30 38:31:0
2022Q4_day2,cpi,-0.317764057,2026-04-30 38:31:0
2022Q4_day2,unemployment rate,-0.018803729,2026-04-30 38:31:0
2022Q4_day2,analyst sentiment score,0.073085392,2026-04-30 38:31:0
2022Q4_day2,analyst consensus strength,-0.295717814,2026-04-30 38:31:0
2022Q4_day2,analyst bullish ratio,0.151213955,2026-04-30 38:31:0
2022Q4_day3,analyst bearish ratio,-0.159077286,2026-04-30 38:31:0
2022Q4_day3,analyst coverage,-0.23786185,2026-04-30 38:31:0
2022Q4_day3,analyst rating momentum,-0.032109108,2026-04-30 38:31:0
2022Q4_day3,analyst positive momentum,-0.310572697,2026-04-30 38:31:0
2022Q4_day3,analyst price target upside,0.039270139,2026-04-30 38:31:0
2022Q4_day3,reaction days,-0.089575579,2026-04-30 38:31:0
2022Q4_day3,cortex sentiment,0.67883508,2026-04-30 38:31:0
2022Q4_day3,earnings surprise pct,0.821158131,2026-04-30 38:31:0
2022Q4_day3,actual eps,0.380164695,2026-04-30 38:31:0
2022Q4_day3,operating margin,0.064193973,2026-04-30 38:31:0
2022Q4_day3,guidance surprise pct,0.73260317,2026-04-30 38:31:0
2022Q4_day3,guidance eps,0.66741824,2026-04-30 38:31:0
2022Q4_day3,china rev yoy,0.18425001,2026-04-30 38:31:0
2022Q4_day3,revenue qoq,0.227252313,2026-04-30 38:31:0
2022Q4_day3,beta sp500,-0.159150344,2026-04-30 38:31:0
2022Q4_day3,beta sp500 it,-0.172745472,2026-04-30 38:31:0
2022Q4_day3,beta nasdaq,-0.082515509,2026-04-30 38:31:0
2022Q4_day3,cadence return 30d,-0.690576349,2026-04-30 38:31:0
2022Q4_day3,siemens return 30d,-0.454557319,2026-04-30 38:31:0
2022Q4_day3,vix,0.283437134,2026-04-30 38:31:0
2022Q4_day3,vix change 30d,0.422483857,2026-04-30 38:31:0
2022Q4_day3,high volatility,-0.52451802,2026-04-30 38:31:0
2022Q4_day3,cpi,0.172967089,2026-04-30 38:31:0
2022Q4_day3,unemployment rate,0.093375046,2026-04-30 38:31:0
2022Q4_day3,analyst sentiment score,1.347328485,2026-04-30 38:31:0
2022Q4_day3,analyst consensus strength,0.335872473,2026-04-30 38:31:0
2022Q4_day3,analyst bullish ratio,-0.038375277,2026-04-30 38:31:0
2022Q4_day4,analyst bearish ratio,-0.286662132,2026-04-30 38:31:0
2022Q4_day4,analyst coverage,-0.481933896,2026-04-30 38:31:0
2022Q4_day4,analyst rating momentum,0.061039091,2026-04-30 38:31:0
2022Q4_day4,analyst positive momentum,-0.226905224,2026-04-30 38:31:0
2022Q4_day4,analyst price target upside,-0.134450742,2026-04-30 38:31:0
2022Q4_day4,reaction days,0.020685423,2026-04-30 38:31:0
2022Q4_day4,cortex sentiment,-1.148928802,2026-04-30 38:31:0
